,is_movie,release_year,year_added,month_added,duration_num,rating_num
577,1,2020,2020,12,54,18.0
578,0,2017,2017,7,60,18.0
579,1,2020,2020,12,98,18.0
580,1,2011,2018,9,113,14.0
581,1,2011,2018,11,91,14.0
582,1,2016,2016,9,89,18.0
583,0,2019,2018,5,300,18.0
584,0,2019,2020,2,480,14.0
585,1,2019,2019,10,63,18.0
586,0,2019,2019,6,60,18.0
587,1,2011,2019,4,110,13.0
588,1,2011,2020,1,98,10.0
589,1,2019,2019,9,125,18.0
590,1,2018,2020,1,106,14.0
591,1,2014,2018,9,93,17.0
592,1,1997,2020,1,139,13.0
593,1,2018,2018,12,90,18.0
594,1,2018,2018,11,123,14.0
595,0,2018,2019,4,180,18.0
596,0,2018,2018,12,60,14.0
597,0,2017,2018,10,60,10.0
599,1,2001,2017,3,168,17.0
600,1,2016,2016,12,83,18.0
601,1,2020,2021,1,101,14.0
602,1,2019,2019,10,94,18.0
603,0,2019,2019,12,60,18.0
604,1,2015,2016,12,100,14.0
605,1,2020,2020,6,117,14.0
607,1,2016,2016,12,81,18.0
608,1,2018,2018,12,91,14.0
609,0,2003,2019,11,60,14.0
610,0,2015,2015,12,60,10.0
611,1,2020,2020,6,104,13.0
612,1,2019,2019,11,106,14.0
613,1,2012,2020,12,112,13.0
614,1,2012,2018,9,122,14.0
616,0,2013,2019,2,60,18.0
617,1,2014,2016,5,102,14.0
618,1,2016,2018,8,88,14.0
619,0,2019,2019,11,180,14.0
620,1,2016,2016,9,99,18.0
621,0,2020,2020,11,60,18.0
622,1,2010,2020,3,186,18.0
623,1,1994,2019,1,49,10.0
624,0,2016,2017,8,60,18.0
625,1,2002,2019,12,94,13.0
626,1,1997,2019,12,90,13.0
627,1,1999,2019,12,95,13.0
628,1,2016,2017,1,97,18.0
629,1,2014,2017,9,110,17.0
630,0,2009,2016,8,60,14.0
631,1,2020,2020,12,97,17.0
633,1,2018,2020,9,73,10.0
634,1,2019,2019,9,88,18.0
635,1,2018,2018,12,150,13.0
636,1,2017,2018,12,97,18.0
637,1,2018,2019,2,91,18.0
638,1,2019,2019,11,92,18.0
639,0,2019,2019,6,60,10.0
640,0,2020,2020,9,60,14.0
641,0,2015,2019,5,60,10.0
642,1,2018,2019,2,111,18.0
643,1,2020,2020,6,101,18.0
644,1,2017,2019,2,112,18.0
645,1,2018,2018,12,73,18.0
646,1,2018,2020,2,89,14.0
647,1,2016,2019,4,129,14.0
648,1,2015,2015,3,58,18.0
649,1,2013,2013,11,80,18.0
650,1,2019,2019,7,65,18.0
651,0,2018,2018,3,60,18.0
652,1,2013,2018,6,99,14.0
653,1,2017,2018,6,126,14.0
654,1,2017,2017,10,135,14.0
655,1,2016,2018,8,127,14.0
656,1,2017,2017,8,165,18.0
657,1,2017,2017,8,166,14.0
658,1,2017,2017,8,166,18.0
659,1,2015,2018,10,138,14.0
660,1,2015,2017,8,159,14.0
661,1,2015,2017,8,160,14.0
662,1,2015,2017,8,159,14.0
663,1,2018,2019,1,136,18.0
664,1,2005,2018,4,112,14.0
665,1,2018,2020,4,101,18.0
666,1,2006,2019,1,143,17.0
667,0,2020,2020,6,120,14.0
668,0,2020,2020,9,180,18.0
669,0,2018,2018,7,120,18.0
670,1,2019,2019,12,127,10.0
671,1,2018,2020,3,98,14.0
672,0,2020,2020,3,180,18.0
673,1,2016,2018,3,61,18.0
676,0,2018,2018,12,60,18.0
677,0,2016,2016,12,60,10.0
678,1,2019,2019,8,84,18.0
679,1,2015,2019,1,111,14.0
680,0,2018,2019,1,60,18.0
682,1,2019,2019,5,102,17.0
683,1,2019,2019,4,97,18.0
684,1,2015,2018,12,90,17.0
685,0,2019,2019,5,120,18.0
686,0,2020,2020,10,60,14.0
687,1,1995,2019,10,119,17.0
688,1,2003,2019,10,147,17.0
689,1,2017,2018,1,99,18.0
690,0,2014,2018,12,180,18.0
691,1,2017,2018,6,130,18.0
692,1,2014,2021,1,87,18.0
693,0,2014,2019,8,60,18.0
694,0,2018,2018,3,60,18.0
695,1,2017,2018,3,83,18.0
696,1,2016,2017,8,83,18.0
697,1,2018,2018,12,105,18.0
